payer_wallet,label,total_usd,payments
0xb1fcff5d1678cdbbb401755e13d7f59a357550aa,0xb1fcff5d…,15.0,1
0x2b4ee3387008e5ff1a9996fc8b48d2fd61389037,0x2b4ee338…,14.9447,579
0x1100a83abf611045f600cc961cc43f4153674972,0x1100a83a…,5.0,1
0x46881ea830903083655139ea38ebd82e55162857,0x46881ea8…,5.0,1
0x1d2f9c4204276bae3aa8d504629cb2bd0a008b28,0x1d2f9c42…,5.0,1
0xd4abb48c1cc570837ef241a005cd8ae49bd564fe,0xd4abb48c…,3.5,1
0x3aaea4ac574b76a3e404d9d307392ab36c8c490b,0x3aaea4ac…,1.0,1
0xe862ef8c60e925653cc8a2e82eebd92fc456eda4,0xe862ef8c…,0.5,1
0x4c610340062ada7155fa9ee8a75662fb996a0a69,0x4c610340…,0.4999,2
0x3a52b39f3d7447e8f747785c954b9e7b0e285169,0x3a52b39f…,0.28,1
0x67ffc9b439ae24b0f7c7ca837c4adfafa06f9d38,0x67ffc9b4…,0.25,1
0x09a2740e5af4a3617cd6a4743415a7675c02ac33,0x09a2740e…,0.25,1
0x72ec58fff173ca373540ccf80f091fb87987b69d,0x72ec58ff…,0.22,1
0x7a546e0b47a8e06fb0ee8cd063a6b0978d090bf6,0x7a546e0b…,0.2,1
0x8998505444d24a7b77ceb1d8c4a2d1d04280d3a1,0x89985054…,0.2,1
0xada3f7da6e71875f1e21e4880081e372e2d0c3cf,0xada3f7da…,0.17,7
0x945c4d1b97b1837a003d5094b382f67dbd2cce92,0x945c4d1b…,0.12,2
0x1cb8d1456efc633da6eeaa038033edcbcdc0bdff,0x1cb8d145…,0.086,28
0xcfa370b01125f985ca1be78bfda9fd790b3da8dc,0xcfa370b0…,0.066,9
0x3a2762c54c270a6e097d9b38970b835e5fe59c0b,0x3a2762c5…,0.06,1
0xa39c469c59270f5403b4641131b89bfe2459889f,0xa39c469c…,0.054,9
0x8f9ac214e8b6f2e2b0dfe7ef6597e6072da2f394,0x8f9ac214…,0.048,24
0xae8cb8498db9041feebc0bbd8d0b029312c989dc,0xae8cb849…,0.048,24
0xbc9ce6efbe7c313b9c75b726d6a607ab1e80bc63,0xbc9ce6ef…,0.0316,3
0x1b8b435ccd32a8c201068a856bfc1ea28947f2b7,0x1b8b435c…,0.02,10
0xcf4c8145ba826cd72694a5413dbca12fa554a9cf,0xcf4c8145…,0.02,1
0xd6055ff34bd5de3fd1093b2dde9ac959888cffc2,0xd6055ff3…,0.02,1
0xc909eb17242c0d66a56e39ffc0799bad8c512a9e,0xc909eb17…,0.018,9
0xf7a9c8d0bf58a3d2a974c19290252ab2e6de0a53,0xf7a9c8d0…,0.018,9
0x9b69217a8fd6273e06dc6a44ea77b4cdcd5c94b9,0x9b69217a…,0.016,8
0xcf333e4ac959dc3816b508d80dcedcffb5f5ccdc,0xcf333e4a…,0.01,5
0xf1c8e771be931ec7177994b48c44579421602672,0xf1c8e771…,0.01,5
0x4c261bcb9d0e19da89d8e99a4eec0518d5e2237c,0x4c261bcb…,0.01,1
0xfc0206e4fe671af303572d89723e2271c7481a67,0xfc0206e4…,0.01,1
0xdf49a8974169180749485898962600f16dbde529,0xdf49a897…,0.01,1
0x2d263598a4d6bbf20987143220b9c6c4016664da,0x2d263598…,0.01,1
0x2054e1cae84be22e313d7ba6960d53b059fbae9b,0x2054e1ca…,0.01,1
0xc34e39338fe53a3a013d55ba2c1cdbab5694a8ad,0xc34e3933…,0.01,1
0xb1744c66f106f1536f4847bb577ea7c53d99d7d9,0xb1744c66…,0.008,4
0x7840b0756a84b197353c36fa6cf75e9a316c8daa,0x7840b075…,0.008,4
0x4aa50c64b321abfe9be9b4bad813c6dac354b877,0x4aa50c64…,0.0079,1
0xfa6881bf490cbec1b516a4af20e3f339802767a5,0xfa6881bf…,0.006,3
0xcc7854ae277e8ec12a6abec254b66d4d0be6f24c,0xcc7854ae…,0.006,2
0x4a29ebe99d491c8410fb3fa9fe3b56e1f011011a,0x4a29ebe9…,0.006,3
0xeeef0a5b1f26ecc82dad66e6795c682fe818a5e7,0xeeef0a5b…,0.005,1
0x98978c8926ac59325b74c7070d9b71fe8d8de042,0x98978c89…,0.004,2
0xf50c2763d909416a72545d392b993786d229b034,0xf50c2763…,0.004,2
0x6909c628167075208e7975c1668522ee629dc0ac,0x6909c628…,0.004,2
0x14bd18e99aced6950722468f262acf8c4f085f76,0x14bd18e9…,0.0031,2
0xd16b044abea8a7eda92d788d25ebcdc3e8886d4f,0xd16b044a…,0.003,1
0x3e435f24cf62eedd5ba79da4a276b7c4b3838490,0x3e435f24…,0.003,1
0x9e857a6593e1a46e7b4de63f8d6f62bbcd7823bd,0x9e857a65…,0.003,1
0x59f373d124f60a4bb886deb606dcd719f17be7de,0x59f373d1…,0.003,1
0x012df43cb91e8aee9cb4dac20959f1b72311a89e,0x012df43c…,0.003,1
0xa1b6703ce4d4e947aa2b1899648ae41c9686454a,0xa1b6703c…,0.003,1
0xc1c92a8a814f531ef4242d1a1258c0620ca5ce33,0xc1c92a8a…,0.003,1
0x4e27a9ff7502121fdd7a0864c398c129fbc4954e,0x4e27a9ff…,0.002,1
0x5b2b12361cf46cb78945813f269ce505bc65f2b1,0x5b2b1236…,0.002,1
0x47264647a4244c109247882ec37df190e2a56ca4,0x47264647…,0.002,1
0xc9f776035eecc259f337c4529892e1d83ce40aa2,0xc9f77603…,0.002,1
0x519212a752e23cfa50d3d8955a9dd4aec500cda0,0x519212a7…,0.002,1
0x535937b65ae4cc84122491281dc24e7636d00656,0x535937b6…,0.002,1
0x254a4ec1106ca0416a28125f0a0e6069b81ed091,0x254a4ec1…,0.001,1
0x801108ca1b7caf261d2e4a11e7701af7cd377e8a,0x801108ca…,0.001,1
0x7a23bf84b36ffb93aa1b6dcf90b3e126e649397b,0x7a23bf84…,0.001,1
